dim_id_cliente,dim_nombre_empresa,dim_sector,dim_tamaño_empresa,dim_ciudad,dim_tipo_cliente,dim_riesgo_impago
414,"Delta Servicios SL",tecnología,pequeña,Barcelona,normal,bajo
415,"Omega Asesores SL",construcción,micro,Bilbao,normal,medio
416,"Delta Consulting  SL",hostelería,mediana,Bilbao,normal,bajo
417,"Omega Retail  SL",hostelería,pequeña,Barcelona,normal,medio
418,"Beta Group",hostelería,mediana,Barcelona,normal,medio
419,"Delta Consulting SL",salud,mediana,Barcelona,normal,bajo
420,"Beta Tech SL",comercio,pequeña,Barcelona,VIP,bajo
421,"Beta Tech",construcción,pequeña,Sevilla,normal,bajo
422,"Beta Asesores",hostelería,mediana,Madrid,normal,bajo
423,"Alfa Servicios  SL",construcción,micro,Madrid,normal,bajo
424,"Omega Group",hostelería,pequeña,Valencia,normal,bajo
425,"Delta Retail  SL","servicios profesionales",micro,Valencia,normal,medio
426,"Omega Asesores  SL",comercio,micro,Barcelona,normal,medio
427,"Delta Solutions  SL",construcción,mediana,Valencia,normal,alto
428,"Omega Gestión  SL",comercio,micro,Sevilla,normal,medio
429,"Alfa Retail  SL",comercio,pequeña,Madrid,VIP,bajo
430,"Delta Tech SL",hostelería,pequeña,Barcelona,normal,medio
431,"Omega Servicios  SL",construcción,micro,Barcelona,normal,bajo
432,"Beta Tech SL",tecnología,mediana,Madrid,VIP,bajo
433,"Gamma Consulting  SL",construcción,micro,Barcelona,normal,bajo
434,"Omega Servicios",tecnología,micro,Madrid,normal,bajo
435,"Alfa Global SL",tecnología,pequeña,Barcelona,normal,medio
436,"Delta Retail",comercio,micro,Barcelona,normal,bajo
437,"Delta Tech SL",construcción,pequeña,Bilbao,normal,medio
438,"Beta Global  SL",comercio,pequeña,Barcelona,normal,bajo
439,"Delta Solutions  SL",comercio,micro,Barcelona,normal,bajo
440,"Gamma Global  SL",construcción,pequeña,Sevilla,normal,bajo
441,"Omega Solutions  SL",tecnología,pequeña,Barcelona,normal,medio
442,"Gamma Servicios  SL","servicios profesionales",pequeña,Valencia,normal,medio
443,"Gamma Group  SL",hostelería,pequeña,Madrid,normal,alto
444,"Gamma Tech  SL",tecnología,micro,Sevilla,normal,bajo
445,"Delta Retail",construcción,mediana,Sevilla,normal,bajo
446,"Alfa Global SL",tecnología,pequeña,Madrid,normal,bajo
447,"Gamma Servicios",hostelería,mediana,Madrid,normal,medio
448,"Beta Tech  SL","servicios profesionales",pequeña,Valencia,normal,bajo
449,"Gamma Global",hostelería,micro,Madrid,normal,medio
450,"Gamma Solutions  SL",comercio,micro,Madrid,VIP,alto
451,"Omega Tech  SL",hostelería,micro,Valencia,normal,bajo
452,"Delta Asesores SL",hostelería,mediana,Madrid,normal,medio
453,"Beta Group  SL",construcción,pequeña,Barcelona,normal,alto
454,"Gamma Group",hostelería,micro,Valencia,normal,bajo
455,"Beta Tech SL",hostelería,mediana,Madrid,normal,medio
456,"Alfa Consulting  SL",salud,pequeña,Bilbao,normal,bajo
457,"Delta Retail SL",tecnología,micro,Valencia,normal,bajo
458,"Beta Tech SL",hostelería,pequeña,Madrid,normal,bajo
459,"Omega Servicios SL","servicios profesionales",pequeña,Madrid,normal,bajo
460,"Omega Asesores  SL",tecnología,pequeña,Madrid,normal,bajo
461,"Beta Solutions  SL",construcción,mediana,Valencia,normal,medio
462,"Delta Gestión",salud,mediana,Barcelona,normal,bajo
463,"Gamma Retail  SL","servicios profesionales",micro,Barcelona,VIP,bajo
464,"Gamma Asesores  SL",comercio,mediana,Barcelona,normal,medio
465,"Alfa Retail SL",hostelería,mediana,Sevilla,VIP,bajo
466,"Alfa Gestión",comercio,micro,Sevilla,normal,medio
467,"Delta Retail",hostelería,pequeña,Madrid,normal,bajo
468,"Omega Retail SL",salud,pequeña,Madrid,normal,medio
469,"Delta Gestión  SL","servicios profesionales",micro,Barcelona,normal,bajo
470,"Omega Consulting  SL","servicios profesionales",pequeña,Madrid,normal,bajo
471,"Alfa Tech SL",tecnología,micro,Madrid,normal,medio
472,"Alfa Servicios",comercio,micro,Barcelona,normal,bajo
473,"Alfa Solutions  SL",construcción,pequeña,Sevilla,VIP,bajo
474,"Alfa Gestión SL",comercio,pequeña,Valencia,normal,medio
475,"Beta Consulting",hostelería,pequeña,Valencia,normal,medio
476,"Alfa Gestión",construcción,pequeña,Barcelona,normal,bajo
477,"Omega Retail  SL",tecnología,mediana,Madrid,normal,medio
478,"Omega Asesores  SL",comercio,pequeña,Madrid,VIP,medio
479,"Beta Consulting  SL",construcción,micro,Valencia,normal,alto
480,"Gamma Asesores",comercio,mediana,Madrid,normal,medio
